text,emotion
I am very happy today,joy
This is the best day of my life,joy
I feel excited and cheerful,joy
I love spending time with my family,joy
Everything is going so well,joy
I feel blessed and grateful,joy
I am feeling very sad,sadness
I feel lonely and depressed,sadness
This situation makes me unhappy,sadness
I miss my old friends so much,sadness
Nothing seems to go right anymore,sadness
I feel empty inside,sadness
I am extremely angry right now,anger
This behavior annoys me,anger
I hate this so much,anger
Why does this always happen to me,anger
I cannot stand this anymore,anger
This is so frustrating,anger
I am scared of the dark,fear
I feel nervous about the exam,fear
This incident frightened me,fear
I am worried about my future,fear
The thought of failing terrifies me,fear
I feel anxious about tomorrow,fear
Wow I did not expect that,surprise
This is a surprising result,surprise
I am shocked by the news,surprise
I cannot believe this happened,surprise
That was completely unexpected,surprise
This caught me off guard,surprise
I am just sitting here,neutral
Today is a normal day,neutral
I am going to college,neutral
The weather is okay today,neutral
I had breakfast this morning,neutral
I will watch a movie later,neutral
